SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
70	64,00	chronos2	mixed2_50	0,31	2,48	0	0,21	64,51	77,23	8,33	70,48	37,15	37,15	1,08
71	64,00	chronos2_m	mixed2_50	0,30	3,57	85	0,21	64,99	75,54	8,49	67,01	47,85	47,85	1,16
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
32	64,00	worst	mixed2_70	0,39	3,58	0	0,26	69,80	85,25	5,73	38,29	19,80	19,80	0,70
33	64,00	pattern	mixed2_70	0,39	5,15	0	0,25	69,55	80,17	6,60	58,97	33,47	33,47	0,88
34	64,00	pidtm	mixed2_70	0,38	4,05	0	0,26	70,38	81,57	6,30	32,96	34,97	32,96	0,83
35	64,00	pidtm_m	mixed2_70	0,39	4,41	56	0,26	70,20	81,13	6,39	30,97	38,67	30,97	0,85
36	64,00	chronos	mixed2_70	0,39	3,21	0	0,26	70,09	81,91	6,37	55,70	35,72	35,72	0,87
37	64,00	chronos_m	mixed2_70	0,38	3,55	54	0,25	69,68	81,11	6,55	40,30	37,28	37,28	0,89
38	64,00	chronos2	mixed2_70	0,39	3,37	0	0,26	70,08	81,36	6,33	57,32	32,42	32,42	0,88
39	64,00	chronos2_m	mixed2_70	0,38	3,51	67	0,26	69,97	80,48	6,45	46,40	34,24	34,24	0,87
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
40	64,00	worst	mixed2_90	0,46	4,28	0	0,30	74,59	86,73	4,81	36,64	18,44	18,44	0,61
41	64,00	pattern	mixed2_90	0,46	5,14	0	0,30	74,35	85,13	5,03	35,97	23,50	23,50	0,67
42	64,00	pidtm	mixed2_90	0,46	4,76	0	0,30	74,63	85,54	4,99	25,72	25,31	25,31	0,66
43	64,00	pidtm_m	mixed2_90	0,47	4,85	54	0,30	74,90	85,42	4,93	23,78	28,93	23,78	0,65
44	64,00	chronos	mixed2_90	0,47	4,93	0	0,30	74,97	87,25	4,75	46,45	21,10	21,10	0,68
45	64,00	chronos_m	mixed2_90	0,45	4,84	38	0,29	74,30	85,37	5,06	27,69	25,97	25,97	0,66
46	64,00	chronos2	mixed2_90	0,46	4,68	0	0,30	74,69	85,55	4,94	41,52	26,56	26,56	0,65
47	64,00	chronos2_m	mixed2_90	0,45	4,92	42	0,29	74,09	84,78	5,11	28,77	27,87	27,87	0,66
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
104	196,00	worst	computation_50	0,50	2,38	0	0,29	78,04	100,95	1,33	15,25	8,98	8,98	0,10
105	196,00	pattern	computation_50	0,50	4,12	0	0,29	78,05	82,65	2,37	36,04	22,24	22,24	0,16
106	196,00	pidtm	computation_50	0,50	6,54	0	0,29	77,89	90,25	2,34	19,00	19,60	19,00	0,16
107	196,00	pidtm_m	computation_50	0,48	6,46	38	0,28	77,18	90,65	2,43	19,29	21,59	19,29	0,17
108	196,00	chronos	computation_50	0,50	2,46	0	0,29	78,06	82,73	2,37	35,28	22,24	22,24	0,16
109	196,00	chronos_m	computation_50	0,47	2,92	10	0,28	76,49	82,63	2,58	23,43	24,21	23,43	0,18
110	196,00	chronos2	computation_50	0,50	3,24	0	0,29	78,02	82,70	2,37	34,79	22,45	22,45	0,16
111	196,00	chronos2_m	computation_50	0,47	4,06	6	0,28	76,37	82,44	2,59	22,66	24,76	22,66	0,18
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
72	196,00	worst	computation_70	0,66	2,63	0	0,36	87,76	103,72	0,97	13,60	7,82	7,82	0,07
73	196,00	pattern	computation_70	0,65	6,73	0	0,36	87,34	97,58	1,41	20,15	13,64	13,64	0,09
74	196,00	pidtm	computation_70	0,65	6,94	0	0,36	87,39	97,34	1,42	11,19	13,87	11,19	0,10
75	196,00	pidtm_m	computation_70	0,63	6,95	36	0,35	85,77	96,67	1,53	12,88	15,18	12,88	0,10
76	196,00	chronos	computation_70	0,66	2,25	0	0,36	87,67	96,51	1,40	19,21	12,61	12,61	0,09
77	196,00	chronos_m	computation_70	0,60	2,43	2	0,34	84,18	95,04	1,67	13,91	15,84	13,91	0,11
78	196,00	chronos2	computation_70	0,66	2,38	0	0,36	87,63	95,70	1,41	20,89	12,54	12,54	0,09
79	196,00	chronos2_m	computation_70	0,59	2,49	1	0,33	83,82	94,10	1,70	15,62	16,24	15,62	0,11
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
80	196,00	worst	computation_90	0,82	3,89	0	0,44	97,35	105,84	0,77	12,59	7,04	7,04	0,05
81	196,00	pattern	computation_90	0,81	6,88	0	0,43	96,90	103,56	0,86	15,07	8,58	8,58	0,06
82	196,00	pidtm	computation_90	0,81	7,77	0	0,43	96,90	103,18	0,86	7,97	9,20	7,97	0,06
83	196,00	pidtm_m	computation_90	0,76	8,26	28	0,41	93,84	101,29	1,00	9,71	10,50	9,71	0,07
84	196,00	chronos	computation_90	0,81	2,64	0	0,43	96,93	103,45	0,86	12,77	8,63	8,63	0,06
85	196,00	chronos_m	computation_90	0,75	2,61	0	0,40	93,04	101,41	1,04	10,14	10,43	10,14	0,07
86	196,00	chronos2	computation_90	0,81	2,78	0	0,43	96,93	103,56	0,86	12,75	8,32	8,32	0,06
87	196,00	chronos2_m	computation_90	0,74	2,96	0	0,40	92,51	101,07	1,07	10,61	10,37	10,37	0,07
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
112	196,00	worst	misto_50	0,30	5,29	0	0,20	65,99	87,24	3,53	25,38	18,92	18,92	0,26
113	196,00	pattern	misto_50	0,30	6,54	0	0,20	66,63	75,88	4,33	45,48	34,50	34,50	0,30
114	196,00	pidtm	misto_50	0,30	6,31	0	0,20	66,51	81,18	4,35	28,62	31,85	28,62	0,32
115	196,00	pidtm_m	misto_50	0,30	7,30	54	0,20	66,68	80,22	4,36	29,50	40,79	29,50	0,31
116	196,00	chronos	misto_50	0,30	4,45	0	0,20	66,48	76,30	4,33	43,51	33,82	33,82	0,31
117	196,00	chronos_m	misto_50	0,30	5,84	50	0,20	66,63	76,36	4,35	40,52	35,62	35,62	0,30
118	196,00	chronos2	misto_50	0,30	7,25	0	0,20	66,62	75,49	4,40	51,97	39,01	39,01	0,31
119	196,00	chronos2_m	misto_50	0,30	7,16	50	0,20	66,91	76,03	4,33	45,19	38,77	38,77	0,30
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
88	196,00	worst	misto_70	0,39	4,17	0	0,24	72,23	90,73	2,62	24,79	16,33	16,33	0,18
89	196,00	pattern	misto_70	0,38	7,20	0	0,25	72,40	85,56	3,17	31,51	27,34	27,34	0,22
90	196,00	pidtm	misto_70	0,38	7,27	0	0,25	72,59	86,15	3,14	22,12	29,73	22,12	0,22
91	196,00	pidtm_m	misto_70	0,38	7,40	46	0,25	72,38	85,11	3,18	24,03	29,94	24,03	0,22
92	196,00	chronos	misto_70	0,38	3,11	0	0,25	72,59	85,55	3,13	36,54	26,93	26,93	0,22
93	196,00	chronos_m	misto_70	0,38	3,17	23	0,24	72,06	85,09	3,20	27,12	27,73	27,12	0,22
94	196,00	chronos2	misto_70	0,39	3,01	0	0,25	72,70	85,22	3,10	39,98	24,78	24,78	0,21
95	196,00	chronos2_m	misto_70	0,38	3,59	35	0,25	72,39	84,02	3,18	31,74	27,28	27,28	0,22
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
96	196,00	worst	misto_90	0,43	5,95	0	0,26	74,62	91,17	2,35	28,19	15,59	15,59	0,16
97	196,00	pattern	misto_90	0,43	7,75	0	0,26	74,67	86,94	2,80	32,03	26,38	26,38	0,19
98	196,00	pidtm	misto_90	0,43	7,12	0	0,26	74,90	86,89	2,78	21,16	26,73	21,16	0,19
99	196,00	pidtm_m	misto_90	0,43	7,88	46	0,26	74,72	86,47	2,81	21,21	26,30	21,21	0,19
100	196,00	chronos	misto_90	0,43	3,64	0	0,26	74,68	87,08	2,80	33,74	22,83	22,83	0,19
101	196,00	chronos_m	misto_90	0,42	3,84	22	0,26	74,31	86,68	2,87	21,74	25,75	21,74	0,19
102	196,00	chronos2	misto_90	0,43	3,74	0	0,26	74,79	85,80	2,78	28,40	23,52	23,52	0,19
103	196,00	chronos2_m	misto_90	0,42	3,94	23	0,26	74,47	85,72	2,83	22,50	24,95	22,50	0,19
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
X	196,00	worst	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	pattern	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	pidtm	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	pidtm_m	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos_m	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos2	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos2_m	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
X	196,00	worst	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	pattern	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	pidtm	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	pidtm_m	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos_m	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos2	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos2_m	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
X	196,00	worst	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	pattern	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	pidtm	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	pidtm_m	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos_m	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos2	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	chronos2_m	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
X	196,00	worst	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
X	196,00	pattern	misc	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
